CD	ID	FD	WD	ED
6	11	2	0	4
6	17	2	0	4
6	10	1	0	5
8	9	1	0	7
9	8	1	0	8
10	1	1	0	9
11	22	3	0	8
11	16	2	0	9
11	14	2	0	9
11	2	1	0	10
12	15	2	0	10
13	13	2	0	11
13	6	1	0	12
13	7	1	0	12
14	27	4	3	7
15	5	1	0	14
16	18	3	0	13
16	4	1	0	15
17	21	3	6	8
17	20	3	4	10
17	3	1	0	16
18	23	3	7	8
19	28	4	8	7
20	12	2	0	18
21	26	4	8	9
21	19	3	4	14
23	25	4	7	12
24	51	17	0	7
25	47	14	0	11
25	29	6	8	11
26	52	18	0	8
27	53	19	0	8
27	50	17	0	10
27	48	15	0	12
27	46	13	0	14
29	39	9	13	7
30	33	7	13	10
30	30	6	12	12
30	49	16	0	14
31	32	7	12	12
31	54	19	0	12
33	36	8	14	11
34	34	7	13	14
35	41	11	14	10
36	44	12	16	8
36	31	6	12	18
37	43	12	14	11
37	42	11	13	13
37	37	8	13	16
40	45	13	18	9
40	38	9	17	14
41	57	22	10	9
41	55	21	10	10
41	40	10	18	13
42	35	8	20	14
43	56	21	11	11
45	60	24	17	4
46	59	24	16	6
47	62	26	18	3
48	61	24	18	6
49	65	27	20	2
49	85	42	0	7
50	81	40	0	10
51	64	27	19	5
51	83	41	0	10
51	58	23	12	16
52	63	27	19	6
52	82	41	0	11
54	84	42	0	12
55	66	28	20	7
57	67	28	21	8
58	68	29	21	8
63	69	30	22	11
65	72	32	24	9
65	71	31	22	12
67	73	32	26	9
68	74	33	26	9
71	77	35	31	5
74	79	36	33	5
75	76	33	33	9
82	70	30	22	30
84	75	33	31	20
85	80	39	33	13
85	78	36	32	17
.............................................
.............................................
Missions:85	[M: 15, P: 30, E: 40]
Rovers:19 	[M: 8, P: 6, E: 5]
Avg Wait = 10.0471, Avg Exec = 10.2118
Auto-promoted: 44.8276%
