CD	ID	FD	WD	ED
6	17	2	0	4
7	15	2	0	5
7	10	1	0	6
8	16	2	0	6
8	9	1	0	7
9	18	3	0	6
9	11	2	0	7
9	14	2	0	7
9	1	1	0	8
9	8	1	0	8
10	28	4	0	6
10	21	3	0	7
10	23	3	0	7
10	2	1	0	9
11	22	3	0	8
11	3	1	0	10
12	34	7	0	5
12	27	4	0	8
12	4	1	0	11
12	7	1	0	11
13	33	7	0	6
13	29	6	0	7
13	26	4	0	9
13	20	3	0	10
13	5	1	0	12
13	6	1	0	12
14	30	6	0	8
15	39	9	0	6
15	25	4	0	11
17	40	10	0	7
17	32	7	0	10
17	19	3	0	14
18	35	8	0	10
18	31	6	0	12
19	37	8	0	11
20	44	12	0	8
20	36	8	0	12
20	12	2	0	18
21	45	13	0	8
21	41	11	0	10
22	51	17	0	5
22	43	12	0	10
22	42	11	0	11
22	13	2	0	20
23	38	9	0	14
24	52	18	0	6
24	47	14	0	10
25	53	19	0	6
25	50	17	0	8
25	46	13	0	12
28	62	26	0	2
28	60	24	0	4
28	58	23	0	5
28	54	19	0	9
28	49	16	0	12
28	48	15	0	13
29	65	27	0	2
29	59	24	0	5
29	57	22	0	7
29	55	21	0	8
30	61	24	0	6
31	56	21	0	10
32	63	27	0	5
32	64	27	0	5
35	68	29	0	6
36	66	28	0	8
37	74	33	0	4
37	67	28	0	9
38	77	35	0	3
38	72	32	0	6
38	69	30	0	8
39	73	32	0	7
40	76	33	0	7
40	70	30	0	10
41	79	36	0	5
42	71	31	0	11
45	75	33	0	12
48	85	42	0	6
49	83	41	0	8
49	81	40	0	9
50	84	42	0	8
51	82	41	0	10
51	80	39	0	12
52	78	36	0	16
.............................................
.............................................
Missions:85	[M: 32, P: 30, E: 23]
Rovers:48 	[M: 13, P: 20, E: 15]
Avg Wait = 0, Avg Exec = 8.31765
Auto-promoted: 0%
